82680	
   2.2362283e-02	   8.3878607e-01	
   2.4397085e-02	   8.3972785e-01	
   2.3821102e-02	   8.3818620e-01	
   3.5498935e-02	   8.3942182e-01	
   3.8789672e-02	   8.3926551e-01	
   4.1300408e-02	   8.3736048e-01	
   4.3235770e-02	   8.4068878e-01	
   4.6789007e-02	   8.3891318e-01	
   5.0525925e-02	   8.3951910e-01	
  -2.1893665e-01	   8.3507953e-01	
  -2.1473949e-01	   8.3577376e-01	
  -2.0648186e-01	   8.3804191e-01	
  -1.9321055e-01	   8.3695094e-01	
  -1.8502015e-01	   8.3862425e-01	
  -1.8041864e-01	   8.3620434e-01	
  -1.8005959e-01	   8.3865175e-01	
  -1.7178536e-01	   8.3679608e-01	
  -1.6692810e-01	   8.3665387e-01	
  -1.6361647e-01	   8.3757003e-01	
  -1.4789365e-01	   8.3774936e-01	
  -1.4742016e-01	   8.3703341e-01	
  -1.4266598e-01	   8.3623309e-01	
  -1.3944551e-01	   8.3689183e-01	
  -1.3622673e-01	   8.3643735e-01	
  -1.3532985e-01	   8.3971332e-01	
  -1.3466525e-01	   8.3787468e-01	
  -1.2522000e-01	   8.3841299e-01	
  -1.1888515e-01	   8.3661833e-01	
  -1.1728590e-01	   8.3781112e-01	
  -1.1371352e-01	   8.3643972e-01	
  -1.0116566e-01	   8.3933466e-01	
  -9.6628812e-02	   8.3763988e-01	
  -9.5232380e-02	   8.3675006e-01	
  -9.1634516e-02	   8.3435097e-01	
  -8.8762071e-02	   8.3617372e-01	
  -7.1235109e-02	   8.3932078e-01	
  -6.9397989e-02	   8.3557151e-01	
  -6.4892341e-02	   8.3697369e-01	
  -6.5843703e-02	   8.3725391e-01	
  -6.2466675e-02	   8.3627601e-01	
  -5.9553750e-02	   8.3812427e-01	
  -5.6699354e-02	   8.3772421e-01	
  -4.4668475e-02	   8.3654997e-01	
  -4.3788397e-02	   8.3610559e-01	
  -4.1983330e-02	   8.3676934e-01	
  -3.7764775e-02	   8.3594924e-01	
  -3.5086251e-02	   8.3779495e-01	
  -3.1517381e-02	   8.3800158e-01	
  -2.3993551e-02	   8.3577600e-01	
  -1.8725739e-02	   8.3850696e-01	
  -8.5984618e-03	   8.3514077e-01	
  -3.7665851e-03	   8.3712584e-01	
   8.4010599e-04	   8.3550476e-01	
   1.2703322e-03	   8.3559846e-01	
   1.0320347e-02	   8.3480618e-01	
   1.8662162e-02	   8.3715099e-01	
   1.9000316e-02	   8.3724509e-01	
   2.2702616e-02	   8.3602233e-01	
   2.6442517e-02	   8.3620476e-01	
   2.8947058e-02	   8.3603438e-01	
   3.6679740e-02	   8.3853869e-01	
   5.7368551e-02	   8.3694670e-01	
  -2.2436008e-01	   8.3527071e-01	
  -2.2080046e-01	   8.3469438e-01	
  -2.1818887e-01	   8.3468689e-01	
  -2.0589436e-01	   8.3542261e-01	
  -2.0356288e-01	   8.3544207e-01	
  -1.9977638e-01	   8.3562854e-01	
  -1.9808095e-01	   8.3545445e-01	
  -1.9438162e-01	   8.3520982e-01	
  -1.9187820e-01	   8.3611100e-01	
  -1.6968656e-01	   8.3524365e-01	
  -1.6359213e-01	   8.3565905e-01	
  -1.6316827e-01	   8.3567364e-01	
  -1.5909439e-01	   8.3424754e-01	
  -1.5446250e-01	   8.3426419e-01	
  -1.5129300e-01	   8.3444337e-01	
  -1.3172742e-01	   8.3453573e-01	
  -1.1030058e-01	   8.3481857e-01	
  -1.1031868e-01	   8.3515982e-01	
  -1.0255848e-01	   8.3420511e-01	
  -8.8536963e-02	   8.3399552e-01	
  -8.4567629e-02	   8.3318767e-01	
  -7.8315518e-02	   8.3617057e-01	
  -7.4930481e-02	   8.3390100e-01	
  -6.3831894e-02	   8.3664127e-01	
  -5.9545953e-02	   8.3632557e-01	
  -5.8158344e-02	   8.3480091e-01	
  -4.0750578e-02	   8.3355160e-01	
  -3.5358941e-02	   8.3523484e-01	
  -3.2941984e-02	   8.3497590e-01	
  -2.6934262e-02	   8.3475125e-01	
  -2.5368004e-02	   8.3587847e-01	
  -1.9643602e-02	   8.3428453e-01	
  -1.8348177e-02	   8.3572422e-01	
  -5.4161927e-03	   8.3289044e-01	
   1.3021244e-03	   8.3598305e-01	
   8.6602509e-03	   8.3497131e-01	
   1.5173136e-02	   8.3523764e-01	
   1.9294749e-02	   8.3451835e-01	
   2.1260326e-02	   8.3634017e-01	
   2.2145634e-02	   8.3619479e-01	
   3.0756140e-02	   8.3612046e-01	
   3.4305673e-02	   8.3651829e-01	
   3.8863736e-02	   8.3404306e-01	
   4.3041401e-02	   8.3381258e-01	
   4.5749231e-02	   8.3646747e-01	
   4.8477266e-02	   8.3451052e-01	
   5.0180410e-02	   8.3573163e-01	
   4.9858982e-02	   8.3322499e-01	
   5.5790535e-02	   8.3511596e-01	
   5.9356244e-02	   8.3570757e-01	
   6.1838980e-02	   8.3594602e-01	
   6.3903014e-02	   8.3495147e-01	
  -2.5029066e-01	   8.3162509e-01	
  -2.2972988e-01	   8.3509408e-01	
  -2.1639500e-01	   8.3330486e-01	
  -2.1608326e-01	   8.3287272e-01	
  -2.0708418e-01	   8.3567316e-01	
  -2.0352318e-01	   8.3281376e-01	
  -1.8654310e-01	   8.3434851e-01	
  -1.8886556e-01	   8.3294947e-01	
  -1.8636260e-01	   8.3241277e-01	
  -1.7980837e-01	   8.3219724e-01	
  -1.8251668e-01	   8.3449454e-01	
  -1.6743462e-01	   8.3405600e-01	
  -1.6050255e-01	   8.3422488e-01	
  -1.5869921e-01	   8.3463366e-01	
  -1.4943113e-01	   8.3229445e-01	
  -1.4681647e-01	   8.3414657e-01	
  -1.3955228e-01	   8.3248864e-01	
  -1.3023999e-01	   8.3477327e-01	
  -1.2704661e-01	   8.3405847e-01	
  -1.2400786e-01	   8.3174688e-01	
  -1.2272138e-01	   8.3451273e-01	
  -1.1782869e-01	   8.3225075e-01	
  -1.0785078e-01	   8.3528241e-01	
  -1.0619844e-01	   8.3280202e-01	
  -8.3490003e-02	   8.3451718e-01	
  -8.1400935e-02	   8.3343059e-01	
  -7.8597285e-02	   8.3324516e-01	
  -7.5062655e-02	   8.3370645e-01	
  -7.2374747e-02	   8.3340917e-01	
  -6.7446636e-02	   8.3462700e-01	
  -6.4458036e-02	   8.3185251e-01	
  -6.1928948e-02	   8.3269532e-01	
  -6.0108501e-02	   8.3434172e-01	
  -5.8690170e-02	   8.3426470e-01	
  -5.1822768e-02	   8.3289371e-01	
  -4.9994906e-02	   8.3124890e-01	
  -4.1915857e-02	   8.3416412e-01	
  -3.0539240e-02	   8.3240112e-01	
  -2.8066499e-02	   8.3300252e-01	
  -2.7716054e-02	   8.3362788e-01	
  -1.8076521e-02	   8.3415003e-01	
  -1.4797497e-02	   8.3407993e-01	
  -1.0239899e-02	   8.3417395e-01	
  -5.6681225e-03	   8.3441348e-01	
  -6.9970696e-03	   8.3355263e-01	
  -2.6714609e-03	   8.3250630e-01	
   1.0346666e-03	   8.3510168e-01	
   2.5348435e-03	   8.3246742e-01	
   8.7017675e-03	   8.3335450e-01	
   7.7858862e-03	   8.3475084e-01	
   1.2268829e-02	   8.3342529e-01	
   1.1683105e-02	   8.3250403e-01	
   1.3971050e-02	   8.3175047e-01	
   2.1515731e-02	   8.3317607e-01	
   2.4789677e-02	   8.3394940e-01	
   3.6890636e-02	   8.3234899e-01	
   4.7944247e-02	   8.3440788e-01	
   5.0416935e-02	   8.3216874e-01	
   5.1773698e-02	   8.3505059e-01	
   5.6960293e-02	   8.3383459e-01	
   6.5319090e-02	   8.3283522e-01	
   6.6185265e-02	   8.3348118e-01	
  -2.7517892e-01	   8.3064823e-01	
  -2.7428113e-01	   8.3300946e-01	
  -2.6188094e-01	   8.3060140e-01	
  -2.4656904e-01	   8.3310513e-01	
  -2.3702396e-01	   8.3199693e-01	
  -2.3397407e-01	   8.3220269e-01	
  -2.2021390e-01	   8.3337657e-01	
  -2.1846241e-01	   8.3302508e-01	
  -2.1750064e-01	   8.2897044e-01	
  -2.1082006e-01	   8.3106810e-01	
  -2.0640668e-01	   8.3179387e-01	
  -2.0322185e-01	   8.3186003e-01	
  -1.9203817e-01	   8.3237786e-01	
  -1.8872506e-01	   8.3089373e-01	
  -1.8593865e-01	   8.3268848e-01	
  -1.8121707e-01	   8.3166607e-01	
  -1.7172688e-01	   8.3120011e-01	
  -1.6201203e-01	   8.3102971e-01	
  -1.5272133e-01	   8.3223725e-01	
  -1.4527262e-01	   8.3083821e-01	
  -1.4508723e-01	   8.3020548e-01	
  -1.4250484e-01	   8.3172469e-01	
  -1.3949255e-01	   8.3048696e-01	
  -1.3748899e-01	   8.3142673e-01	
  -1.3259468e-01	   8.3111263e-01	
  -1.2751262e-01	   8.3143588e-01	
  -1.2726680e-01	   8.3228196e-01	
  -1.2143848e-01	   8.3160342e-01	
  -1.1534070e-01	   8.3184497e-01	
  -9.8895898e-02	   8.3306449e-01	
  -8.8207707e-02	   8.3152256e-01	
  -8.4629507e-02	   8.3212947e-01	
  -6.0045970e-02	   8.3071324e-01	
  -5.8335722e-02	   8.3148454e-01	
  -5.3622050e-02	   8.3065781e-01	
  -4.9060789e-02	   8.3210398e-01	
  -5.0138542e-02	   8.3213034e-01	
  -4.6113725e-02	   8.3089190e-01	
  -3.5015997e-02	   8.2994497e-01	
  -3.2073886e-02	   8.2983420e-01	
  -1.9606967e-02	   8.3212283e-01	
  -1.8033748e-02	   8.3085186e-01	
  -1.0450146e-02	   8.3042692e-01	
  -3.3339822e-03	   8.3227491e-01	
   5.6152950e-03	   8.3123421e-01	
   9.6634380e-03	   8.3318773e-01	
   1.7978913e-02	   8.3221467e-01	
   2.1889022e-02	   8.3150982e-01	
   2.2081259e-02	   8.3116566e-01	
   3.0913600e-02	   8.3318323e-01	
   4.1305630e-02	   8.3166168e-01	
   4.0911958e-02	   8.2941832e-01	
   4.4457924e-02	   8.3226048e-01	
   4.5334718e-02	   8.2982118e-01	
   4.9856484e-02	   8.3006048e-01	
   5.5815038e-02	   8.3265614e-01	
   5.8115290e-02	   8.3192044e-01	
   5.9636959e-02	   8.3197831e-01	
   6.2342897e-02	   8.3042672e-01	
   6.3986762e-02	   8.3323483e-01	
   6.6572888e-02	   8.3110216e-01	
   7.1336159e-02	   8.3226997e-01	
   7.3710937e-02	   8.3079936e-01	
   7.7607748e-02	   8.3266708e-01	
  -2.7091845e-01	   8.2837210e-01	
  -2.7069980e-01	   8.3095483e-01	
  -2.6715008e-01	   8.3065871e-01	
  -2.5297600e-01	   8.3126088e-01	
  -2.4780532e-01	   8.3102415e-01	
  -2.3937160e-01	   8.2918293e-01	
  -2.3623334e-01	   8.2934289e-01	
  -2.3136961e-01	   8.3113514e-01	
  -2.2611817e-01	   8.2847069e-01	
  -2.2435239e-01	   8.2932348e-01	
  -2.2470041e-01	   8.2982392e-01	
  -2.2140223e-01	   8.2872720e-01	
  -2.2110279e-01	   8.2957632e-01	
  -2.1787893e-01	   8.2923198e-01	
  -2.1576125e-01	   8.3174139e-01	
  -2.0627219e-01	   8.2891256e-01	
  -2.0340484e-01	   8.3045490e-01	
  -1.9605277e-01	   8.2960450e-01	
  -1.9089573e-01	   8.2879655e-01	
  -1.8820148e-01	   8.2907144e-01	
  -1.8594974e-01	   8.2811273e-01	
  -1.8462205e-01	   8.3049959e-01	
  -1.7860290e-01	   8.2957549e-01	
  -1.7754362e-01	   8.2997593e-01	
  -1.7676769e-01	   8.2987354e-01	
  -1.7466486e-01	   8.3035795e-01	
  -1.6215214e-01	   8.3071776e-01	
  -1.4409700e-01	   8.2883216e-01	
  -1.3963685e-01	   8.2854535e-01	
  -1.3665097e-01	   8.3089286e-01	
  -1.3039982e-01	   8.2989367e-01	
  -1.3131075e-01	   8.3055970e-01	
  -1.2610041e-01	   8.3061285e-01	
  -1.0931783e-01	   8.2976442e-01	
  -9.8471857e-02	   8.2928613e-01	
  -9.9222325e-02	   8.2923188e-01	
  -9.6994923e-02	   8.2997791e-01	
  -9.2777245e-02	   8.3212965e-01	
  -8.6805828e-02	   8.2970963e-01	
  -7.9719734e-02	   8.2866414e-01	
  -7.6700464e-02	   8.2870391e-01	
  -7.3873124e-02	   8.2941892e-01	
  -7.3247742e-02	   8.2938453e-01	
  -7.0476130e-02	   8.3108181e-01	
  -6.5538619e-02	   8.3130388e-01	
  -5.8222408e-02	   8.2867428e-01	
  -4.9852502e-02	   8.2882576e-01	
  -4.5903874e-02	   8.3030760e-01	
  -4.1994554e-02	   8.2925321e-01	
  -3.3651356e-02	   8.3120799e-01	
  -2.7444234e-02	   8.2971456e-01	
  -2.5576271e-02	   8.2909164e-01	
  -8.2825989e-03	   8.3045869e-01	
  -4.8226104e-03	   8.3213829e-01	
   1.1784094e-03	   8.3138386e-01	
   1.6235711e-02	   8.3146823e-01	
   2.5362510e-02	   8.2885573e-01	
   2.6479326e-02	   8.2894941e-01	
   3.4778243e-02	   8.3003829e-01	
   3.5594453e-02	   8.3077707e-01	
   3.7791357e-02	   8.3019104e-01	
   5.0486256e-02	   8.2877140e-01	
   5.6676820e-02	   8.2960117e-01	
   5.9292001e-02	   8.3145479e-01	
   6.1757112e-02	   8.2896753e-01	
   6.6289485e-02	   8.2870883e-01	
   6.8661672e-02	   8.2914320e-01	
   7.2351015e-02	   8.2983854e-01	
   7.6121499e-02	   8.2957318e-01	
   7.7332044e-02	   8.2961826e-01	
   7.9065736e-02	   8.2933879e-01	
  -2.8262906e-01	   8.2711992e-01	
  -2.7768121e-01	   8.2663998e-01	
  -2.7778854e-01	   8.2878389e-01	
  -2.7362185e-01	   8.2584373e-01	
  -2.7025867e-01	   8.2726280e-01	
  -2.6853011e-01	   8.2858674e-01	
  -2.6228369e-01	   8.2751734e-01	
  -2.6174185e-01	   8.2700188e-01	
  -2.5426436e-01	   8.2604898e-01	
  -2.5229626e-01	   8.2763570e-01	
  -2.5014005e-01	   8.2809525e-01	
  -2.0803554e-01	   8.2882869e-01	
  -2.0396029e-01	   8.2715215e-01	
  -1.9924681e-01	   8.2802211e-01	
  -1.9561066e-01	   8.2737417e-01	
  -1.8393009e-01	   8.2847703e-01	
